Unnamed: 0,Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,How many students do you estimate there are in the room?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Parsed How many students do you estimate there are in the room?,Parsed What is your stress level (0-100)?,Parsed How many hours per week do you do sports (in whole hours)?,Parsed Give a random number,Parsed Time you went to bed Yesterday,category_goodday_1,category_goodday_2,SleepDeviation,Norm.SleepDeviation,Norm.Stress,Norm.Sport,WellBeing
42,4-1-2025 12:18:05,"Business, Finance & Econometrics",yes,0,mu,ja,male,yes,]2000-2005],300,5,8,14,12,Sports,Friends,300.0,5.0,8.0,14.0,0.0,sport,friends/family,1.5,0.8737727910238429,0.95,0.11594202898550725,0.6465716066697834
43,4-1-2025 12:18:06,"Business, Finance & Econometrics",yes,1,mu,ja,female,yes,]2000-2005],450,89,7,69,23:40,Bubble tea,Dog,450.0,89.0,7.0,69.0,23.666666666666668,food,friends/family,1.1666666666666679,0.9018232819074332,0.10999999999999999,0.10144927536231885,0.37109085242325063
44,4-1-2025 12:18:06,"Business, Finance & Econometrics",yes,1,mu,ja,male,no,]1995-2000],350,0,4,14,3,No school,High grade,350.0,0.0,4.0,14.0,3.0,sleep/rest,study/work,4.5,0.6213183730715288,1.0,0.057971014492753624,0.5597631291880941
45,4-1-2025 12:18:06,AI & Data Science,yes,unknown,mu,ja,male,not willing to say,]2000-2005],200,49,7,420,2am,Warm,Sun,200.0,49.0,7.0,420.0,2.0,weather,weather,3.5,0.7054698457223001,0.51,0.10144927536231885,0.43897304036153967
46,4-1-2025 12:18:07,AI & Data Science,yes,1,mu,ja,male,yes,]2000-2005],600,1000,4,66,1am,Going to gym,Weed,293.3233333333333,25.981499999999997,4.0,66.0,1.0,sport,alchol/drugs,2.5,0.7896213183730715,0.7401850000000001,0.057971014492753624,0.5292591109552751
47,4-1-2025 12:18:07,AI & Data Science,yes,1,mu,ja,male,yes,]2000-2005],200,0,69,199389299284884742829r7747r8e9w929e94747uch38838udud8388383838e8e8e8e8e8e8d8du8s888x8d88d8u,2:00,Ajax winning,Drugs,200.0,0.0,69.0,1.2071988142093626e+59,2.0,mood,alchol/drugs,3.5,0.7054698457223001,1.0,1.0,0.9018232819074333
48,4-1-2025 12:18:08,AI & Data Science,yes,1,mu,ja,female,yes,]2000-2005],320,70,12,4,23:59,Sun,Interacting with my loved ones,320.0,70.0,12.0,4.0,23.983333333333334,weather,friends/family,1.4833333333333343,0.8751753155680224,0.30000000000000004,0.17391304347826086,0.4496961196820945
49,4-1-2025 12:18:08,Computer Science & Technology,no,0,mu,ja,male,yes,]2000-2005],200,30,5,2324234234234432434,12,nothing to do,can do anything,200.0,30.0,5.0,2.3242342342344325e+18,0.0,sleep/rest,sleep/rest,1.5,0.8737727910238429,0.7,0.07246376811594203,0.5487455197132617
50,4-1-2025 12:18:08,Computer Science & Technology,yes,1,sigma,ja,not willing to answer,not willing to say,]1995-2000],300,72,2,73,00:00,Beer ,Wine ,300.0,72.0,2.0,73.0,0.0,alchol/drugs,alchol/drugs,1.5,0.8737727910238429,0.28,0.028985507246376812,0.3942527660900732
51,4-1-2025 12:18:10,Computer Science & Technology,yes,1,mu,ja,male,no,]1995-2000],350,5,9,-1,01:00,A cold beer,Kissing the homies for good night ,350.0,5.0,9.0,-1.0,1.0,alchol/drugs,joke,2.5,0.7896213183730715,0.95,0.13043478260869565,0.623352033660589
